palavra,frequencia_total,frequencia_documentos
zlatan,5,1
tory,5,1
deixálo,5,5
deli,5,4
torturar,5,3
britânica,5,5
reembolsar,5,3
reencontrar,5,5
microscopia,5,3
microsoft,5,4
microcefalia,5,5
antibiótico,5,5
uruguaia,5,4
urgente,5,5
jesuíno,5,3
jesús,5,2
recémnascir,5,4
recusa,5,5
brother,5,4
refinar,5,5
arbusto,5,4
invés,5,5
boba,5,4
esquisito,5,4
brilham,5,5
moon,5,2
acontecia,5,5
hayatar,5,3
contentar,5,5
contenção,5,5
mick,5,3
mianmar,5,4
migrar,5,5
reeleitar,5,5
jardinagem,5,5
regenerativo,5,1
regeneração,5,2
derecho,5,1
invierno,5,2
jeanmarie,5,2
jaula,5,5
esquecimento,5,5
esquecir,5,5
brewdog,5,2
heitor,5,4
hebraico,5,4
disponibilidade,5,4
dispositivo,5,5
2x1,5,3
brocchi,5,1
refinanciamento,5,5
relacionado,5,5
braçar,5,4
ºc,5,2
bolar,5,5
boleiro,5,3
414,5,5
jamile,5,2
jane,5,5
moléculo,5,4
conquiste,5,5
contatar,5,5
consultoria,5,4
sun,5,4
refúgio,5,4
brincalhão,5,5
1959,5,5
brasileirão,5,4
jacaré,5,3
irregularidades,5,4
irlanda,5,5
irlandês,5,5
iraniano,5,2
depredar,5,4
molde,5,5
mofo,5,3
mohamed,5,4
reina,5,4
relaçãor,5,5
aldeia,5,5
alcalde,5,2
tozzo,5,2
ervar,5,5
respectivo,5,5
respecto,5,2
democrata,5,4
democratização,5,4
delírio,5,4
jamaica,5,4
jamaicano,5,5
construtor,5,2
milfolha,5,5
hernande,5,1
156,5,5
ressalva,5,5
1944,5,4
bragantino,5,3
brain,5,4
1948,5,4
esperma,5,5
espermidina,5,1
reparo,5,4
renovável,5,5
trabalhe,5,5
trabalhistas,5,5
millonario,5,2
milo,5,3
consumer,5,5
modernização,5,5
modelar,5,5
dinâmica,5,5
hit,5,5
rendar,5,5
renascimento,5,4
respor,5,5
especificar,5,5
espancar,5,5
espectro,5,5
albanês,5,1
repentinamente,5,5
repartir,5,5
sudoeste,5,5
such,5,2
mitológico,5,5
aconchegante,5,5
aquém,5,5
jackson,5,5
renova,5,3
bombom,5,5
jaguars,5,2
jacarepaguá,5,2
resguardar,5,4
reportr,5,5
reposição,5,5
repousar,5,5
abusar,5,5
mimo,5,5
aglomerar,5,5
suelen,5,2
universíade,5,2
uno,5,3
antártida,5,3
auditar,5,5
isaac,5,2
denis,5,4
bourgeois,5,1
escar,5,5
rescisão,5,4
900,5,5
escorrer,5,5
escoltar,5,5
abóbora,5,5
óssea,5,3
ô,5,3
atômico,5,3
suicídio,5,3
sugiro,5,3
diretorgeral,5,5
higienópolis,5,4
diretrizes,5,3
diria,5,4
hierarquia,5,5
escolhe,5,5
fórum,5,4
242,5,5
desproporcional,5,5
gamar,5,3
galpão,5,4
galápago,5,2
parei,5,5
parcelar,5,5
pardo,5,4
tartaruga,5,3
italian,5,2
italy,5,3
esfriar,5,5
éticar,5,4
étnico,5,4
êxito,5,4
escócia,4,4
escorpião,4,4
islamismo,4,3
denver,4,4
ênio,4,1
ídolos,4,4
ótimas,4,4
02,4,4
borr,4,4
botafogorj,4,1
bottura,4,2
repouso,4,4
dentista,4,3
demos,4,4
trafficker,4,2
traição,4,3
tragédio,4,3
tragédiar,4,4
aranha,4,2
trancar,4,4
represente,4,4
repelir,4,3
boto,4,3
representado,4,4
austin,4,4
misério,4,4
501,4,3
consultório,4,4
milênio,4,4
constitucional,4,4
constância,4,4
agito,4,4
acompanhei,4,4
mitologia,4,3
306,4,4
sucessivo,4,4
305,4,4
missa,4,4
dirty,4,2
universidad,4,4
antiguidader,4,4
anticristo,4,1
herz,4,2
hettsheimeir,4,3
mildronate,4,1
milanês,4,4
aborígene,4,3
director,4,2
hobbit,4,1
moacir,4,2
mls,4,2
modelagem,4,4
model,4,2
modi,4,3
modern,4,4
aura,4,4
help,4,3
sunday,4,3
superbactéria,4,1
monaco,4,4
submetido,4,4
molinero,4,1
momofuku,4,2
helmut,4,2
hepple,4,1
herdeiro,4,4
discordo,4,4
uptrends,4,2
ausentar,4,4
suculência,4,4
moir,4,4
urino,4,3
use,4,3
usario,4,4
heart,4,4
contará,4,4
microcefaliar,4,3
micróbio,4,3
miamoto,4,1
montenegro,4,4
montano,4,1
montevidéu,4,4
subsidiar,4,4
subsídio,4,4
sucedir,4,4
159,4,4
2x0,4,2
helicóptero,4,4
havaiano,4,3
morato,4,3
morita,4,2
morena,4,3
unesp,4,4
holando,4,4
hokulea,4,1
moscou1980,4,3
subjetivo,4,4
subsequente,4,4
autenticidade,4,4
conhec,4,4
monumental,4,4
moradia,4,3
mora,4,4
urgência,4,4
sub18,4,3
autonomio,4,3
automóvel,4,4
conformar,4,4
superlua,4,1
superstição,4,3
mexeu,4,4
mexe,4,4
mex,4,3
mets,4,3
suaudeau,4,3
suber,4,3
subastor,4,2
subespécie,4,1
harmonizaçãor,4,4
harmonização,4,4
confinar,4,4
moçambique,4,3
continência,4,1
hominídeo,4,2
diploma,4,3
hondura,4,4
confidencialidade,4,3
haller,4,1
dissera,4,3
dissabor,4,4
hansjoachim,4,4
haramiyavia,4,1
autora,4,4
autônomo,4,4
strongest,4,3
sub21,4,2
stf,4,3
autoritarismo,4,2
mudanço,4,4
mudamos,4,3
mesquita,4,3
acolhedor,4,4
mesmos,4,4
met,4,3
mestrecervejeiro,4,2
mestrado,4,1
meteorológico,4,4
usual,4,4
using,4,4
usina,4,4
antepassar,4,4
halsell,4,1
murad,4,3
homo,4,2
honorário,4,4
dimensãor,4,4
dino,4,3
honestamente,4,4
dinamarco,4,4
distrair,4,2
h,4,2
mudei,4,4
mulder,4,1
acosta,4,2
gênese,4,4
habea,4,3
habitacional,4,1
hadad,4,1
usála,4,4
usufruir,4,2
avantir,4,3
supernovo,4,1
supermercado,4,4
supor,4,4
supervisionar,4,4
merda,4,4
contrasta,4,4
stade,4,2
stanford,4,4
steeler,4,2
stegen,4,2
autêntico,4,3
murcho,4,4
mural,4,4
distâncer,4,4
honraria,4,4
horizontino,4,2
horizons,4,3
digna,4,4
153,4,4
menusdegustação,4,4
sparring,4,4
spencer,4,3
sponsorships,4,1
sponsorship,4,1
muskr,4,2
condicionar,4,3
guinébissau,4,1
guy,4,4
distração,4,3
sour,4,3
contratante,4,3
uef,4,3
umaestrela,4,3
meno,4,4
15h15,4,3
guayaquil,4,2
guarulho,4,3
divergênciar,4,3
méxico1968,4,4
concorrir,4,4
2abr,4,2
valdez,4,3
valha,4,4
gulbis,4,1
gulati,4,1
guaraná,4,2
guede,4,4
suposição,4,4
4ª,4,4
digam,4,4
horror,4,4
digerir,4,4
surra,4,4
sus,4,2
n,4,3
concho,4,3
concessionário,4,4
mútuo,4,4
acreditavase,4,4
concepção,4,3
south,4,4
naquela,4,4
conceitualmente,4,2
name,4,2
conver,4,4
menottista,4,3
controles,4,4
conversão,4,4
mendonça,4,4
mena,4,3
napoli,4,3
nanico,4,4
narrador,4,4
valir,4,4
valiosas,4,4
valiente,4,1
anormal,4,4
sondo,4,4
gt,4,1
valero,4,1
avisei,4,2
contunder,4,3
contundente,4,3
tônico,4,4
tópico,4,4
uber,4,1
ubaitabar,4,2
ufmg,4,3
melancia,4,4
sorocabar,4,3
sortear,4,1
aventura,4,4
narina,4,3
djalma,4,3
grisalho,4,4
conversação,4,3
convincente,4,4
meligeni,4,1
atrasado,4,4
atopodentatus,4,1
grosjean,4,2
sopo,4,4
naturalizado,4,2
nbc,4,4
natar,4,4
comício,4,1
nata,4,2
comunicado,4,3
comumente,4,4
grigory,4,4
griffith,4,1
comprálo,4,4
negação,4,3
diez,4,1
hour,4,4
hotél,4,4
howard,4,2
megumi,4,4
meias,4,4
meira,4,4
negr,4,3
soma,4,4
grife,4,4
greve,4,4
gritante,4,4
gregório,4,4
sommeliers,4,3
didnt,4,2
dico,4,4
dicionário,4,2
human,4,2
hulkenberg,4,2
diabo,4,4
diarreia,4,3
aclimatação,4,4
medicine,4,4
medicinar,4,4
medicinal,4,4
vandalizar,4,3
valério,4,4
vangloriar,4,4
animação,4,4
animador,4,4
dodger,4,3
ner,4,1
netflix,4,4
net,4,2
neurocientista,4,4
atmosfero,4,4
agilidader,4,3
cooperativo,4,4
aclimação,4,3
térreo,4,4
neurologista,4,2
solidez,4,1
solicito,4,3
documentarista,4,4
gratidão,4,3
dogma,4,4
humm,4,2
héverton,4,2
abranger,4,4
tártaro,4,4
suécer,4,4
compr,4,4
neutrino,4,1
compilar,4,4
comportamental,4,4
15º,4,4
solicitarar,4,4
solidão,4,3
compreer,4,3
var,4,4
ativisto,4,4
mdd,4,1
copenhague,4,4
maíz,4,2
mcgill,4,2
copalombo,4,3
swansea,4,3
soft,4,3
vasconcelos,4,3
vasconcello,4,2
grajaú,4,1
nilmara,4,1
nino,4,2
nissan,4,2
azeitonar,4,4
años,4,3
nortecoreanós,4,1
285,4,4
noaa,4,3
noroeste,4,4
normalizar,4,4
típica,4,4
dfb,4,2
15000,4,4
graafschap,4,2
grafeno,4,1
gradualmente,4,3
dolly,4,2
abelho,4,3
varenhorst,4,1
vascular,4,4
sogipa,4,1
284,4,1
nostálgico,4,3
agostinho,4,4
ativar,4,4
copyright,4,4
mayo,4,2
idea,4,4
ictiossauro,4,2
deveríamos,4,4
deverer,4,4
communities,4,2
sobro,4,4
doméstica,4,4
dominic,4,4
norton,4,2
comparaçãor,4,3
comi,4,4
adames,4,1
320,4,4
sérier,4,4
gordon,4,4
google,4,4
donovan,4,2
noz,4,4
now,4,3
novidades,4,4
veementemente,4,4
anfíbio,4,3
veiga,4,4
donnarumma,4,2
sociedader,4,3
bachi,4,2
vego,4,3
comento,4,3
obtenhar,4,3
occurred,4,3
níquel,4,3
nêutrom,4,3
adamy,4,1
obesidade,4,2
mata,4,2
mascavo,4,4
vejar,4,4
vence,4,4
sobreviverar,4,4
nutricional,4,4
nutella,4,3
cominho,4,3
adar,4,4
combativo,4,4
soberba,4,3
sobrevoar,4,4
again,4,4
cordon,4,2
massimo,4,3
marto,4,4
coringão,4,1
cornisa,4,4
babuíno,4,1
obá,4,2
goiânia,4,4
goiaba,4,4
golaço,4,3
veia,4,4
odepa,4,3
masculinidade,4,3
masculina,4,4
devastador,4,4
deturpar,4,4
detrimento,4,4
273,4,4
odeie,4,4
oe ng,4,4
godefroid,4,1
gobbi,4,3
goal,4,2
comecar,4,3
combo,4,4
combino,4,4
oceanio,4,4
ok,4,4
26ª,4,4
comandado,4,4
mars,4,3
corra,4,3
corpus,4,3
sólo,4,3
colono,4,2
drasticamente,4,4
glossário,4,4
glórer,4,3
dougla,4,4
adegar,4,3
adds,4,2
odilio,4,3
odiar,4,4
skatista,4,2
six,4,2
slow,4,3
sóciotorcedor,4,4
tabu,4,4
aterrissagem,4,3
marquei,4,4
tabuleiro,4,2
marlim,4,2
marley,4,2
dramaturgo,4,4
dragon,4,3
gl,4,2
doze,4,4
coluno,4,3
ohato,4,1
corregio,4,1
corregedoriageral,4,1
igrejo,4,3
iguaçu,4,2
ginásior,4,4
baixa,4,4
bailey,4,1
onliner,4,3
coleto,4,3
coletivamente,4,4
colegar,4,4
opa,4,4
sino,4,4
colin,4,3
sirli,4,1
situation,4,3
orbita,4,4
colabora,4,4
optarar,4,4
adequadamente,4,4
sinatrar,4,3
singular,4,4
mariana,4,4
corresponsável,4,3
take,4,4
gigantopithecu,4,1
gin,4,3
gilvan,4,1
operations,4,2
coincidentemente,4,4
veranópoli,4,4
veracidade,4,3
cof,4,1
organizing,4,3
marginal,4,2
maresia,4,4
ilegalmente,4,4
im,4,3
ilustro,4,4
ilustrar,4,4
sincronização,4,2
balbuena,4,3
duff,4,1
gesso,4,2
sintonia,4,4
sintoma,4,4
sintetizar,4,4
orco,4,3
marcela,4,2
corro,4,4
cortesia,4,4
cortejar,4,4
balear,4,3
bambu,4,3
simão,4,4
abdicar,4,4
verdadeiramente,4,4
verdadeira,4,4
germinativo,4,2
germany,4,3
orion,4,2
orçar,4,3
ortodoxo,4,1
balsâmico,4,3
outrora,4,4
outono,4,4
cocô,4,2
geranium,4,1
maratonista,4,4
ilustr,4,3
iluminado,4,4
ilude,4,3
imagino,4,4
atendir,4,4
duna,4,2
gerador,4,3
gerenciamento,4,4
gerson,4,3
geromel,4,1
simpatia,4,4
bangu,4,3
signatário,4,2
banca,4,4
así,4,2
mantêla,4,4
imbecis,4,2
imaturo,4,4
bandeja,4,4
genialidade,4,4
cno,4,1
durabilidade,4,4
geopolítico,4,3
gerardo,4,4
simataa,4,1
balão,4,4
oui,4,2
clubes2016,4,4
cosmos,4,3
costumo,4,4
manthiqueiro,4,1
cosme,4,3
costeiro,4,4
manny,4,2
paciênciar,4,3
padeiro,4,4
paddock,4,1
252,4,4
pagase,4,4
clã,4,4
pachauri,4,1
padaria,4,3
pad,4,2
shoppings,4,1
palavras,4,4
paleontologista,4,3
palestina,4,4
manteigar,4,3
mantiveram,4,4
también,4,2
astrofísico,4,3
gaveta,4,4
geladeirar,4,4
duver,4,3
dutra,4,4
clo,4,2
verificação,4,3
anabolizante,4,3
clonar,4,2
gastro,4,4
adelino,4,4
adianto,4,3
afroamericano,4,3
tangerinar,4,4
tange,4,4
costurar,4,4
mansell,4,1
impaciência,4,3
desse,4,4
desrespeitoso,4,2
tardio,4,4
tarantino,4,1
astrid,4,4
shin,4,4
shprygin,4,1
astral,4,4
court,4,4
mangiare,4,2
cotia,4,2
cowboys,4,3
mancan,4,1
mandamento,4,3
manejo,4,4
maneiro,4,4
mandiocabrar,4,3
coubertin,4,4
classificatór,4,3
clear,4,1
panorama,4,4
veste,4,3
gastronomiar,4,4
ciudades,4,1
papeleira,4,4
paquete,4,3
clamar,4,3
tapioco,4,4
tapetão,4,2
destituir,4,2
aplauder,4,4
impensável,4,4
sevilla,4,4
eater,4,3
pantanal,4,3
dáguo,4,4
anatomia,4,4
palmo,4,3
panamá,4,2
paraíso,4,3
paradigma,4,4
malte,4,1
mamedir,4,1
mama,4,3
man,4,4
mamute,4,1
33min,4,3
337,4,4
ciro,4,1
ecoar,4,4
analgésico,4,3
shakespeare,4,4
shake,4,4
banimento,4,3
2490,4,1
galho,4,3
cinquentar,4,4
circunferência,4,4
achcar,4,3
mala,4,4
maldonar,4,2
assunção,4,4
pare,4,3
parentesco,4,4
economic,4,3
galo,4,3
galês,4,3
gancho,4,3
seurop,4,4
barakzai,4,1
paramilitar,4,3
cidão,4,1
cineasta,4,2
cimo,4,4
cinturão,4,4
majority,4,4
impedido,4,4
importa,4,4
después,4,2
cravo,4,4
craniano,4,4
barbeiro,4,1
sertão,4,2
fôlego,4,4
5º,4,4
galeria,4,4
galera,4,4
vianna,4,1
1115,4,4
vicecônsul,4,2
coxinhar,4,3
cr,4,1
cpis,4,3
astecar,4,2
abrangente,4,4
abruptar,4,4
abro,4,4
importantíssimo,4,3
488,4,4
imprescindível,4,4
vicecampeã,4,4
parlamento,4,4
parthenogenote,4,1
fácel,4,4
sermos,4,4
tatuapé,4,2
taxpayer,4,1
magia,4,4
tcheca,4,3
assisto,4,3
assumar,4,4
fábrico,4,3
fértil,4,4
particularidade,4,4
participe,4,4
participaçãor,4,4
participativo,4,4
cientificamente,4,3
adjacente,4,4
furar,4,4
baristo,4,3
magali,4,3
trópico,4,1
apetitoso,4,4
cremosidade,4,4
separ,4,4
barbatana,4,2
ciclista,4,3
pasteizinho,4,4
passinho,4,2
patinador,4,1
paterno,4,4
funghi,4,4
fusiforme,4,1
future,4,3
patrono,4,4
patrocinadora,4,3
creier,4,4
tatuzão,4,1
assistar,4,4
pautar,4,4
fulano,4,4
vieno,4,4
vigília,4,3
ampla,4,4
patrickr,4,4
patrick,4,3
chásr,4,4
chuveiro,4,3
funcione,4,4
fundamentar,4,4
frágel,4,4
frutir,4,4
fuck,4,4
fubá,4,4
fuller,4,1
impressionado,4,4
improbidade,4,4
inaceitável,4,4
imunidade,4,4
editorial,4,4
sensorial,4,3
sentasse,4,4
pedalar,4,4
pavê,4,4
chuck,4,3
patrícia,4,3
m27,4,3
teams,4,2
despontar,4,3
inaugural,4,4
incapacidade,4,4
despeever,4,4
peerj,4,4
pedreira,4,3
peixinho,4,3
peixaria,4,2
peloquin,4,1
pendente,4,4
238,4,2
chri,4,4
peder,4,4
efetividade,4,4
lâmpar,4,3
lâmino,4,4
lúcia,4,2
lópez,4,3
criei,4,4
crisis,4,3
174,4,3
pensão,4,3
pensilvânia,4,4
chinesa,4,3
penetração,4,4
chiqui,4,1
peno,4,2
villar,4,4
fritz,4,4
frontal,4,4
frederico,4,4
frequentador,4,4
adjunto,4,4
chickenr,4,2
chimpanzé,4,4
chiluba,4,1
láurea,4,4
lynch,4,3
aspirinar,4,1
assentamento,4,2
administration,4,4
semelhantes,4,4
eifert,4,1
egoísta,4,4
fricção,4,4
amparo,4,4
percevejo,4,1
telo,4,4
troquei,4,4
trucks,4,4
agudar,4,4
incident,4,3
cristã,4,4
luisar,4,3
perceptível,4,3
224,4,1
2232,4,4
22ª,4,3
semiprofissional,4,4
perca,4,4
vimos,4,4
vingança,4,4
bassul,4,2
luo,4,3
cristian,4,4
crissier,4,3
desorganizar,4,3
incluído,4,3
incluyer,4,2
inconscientemente,4,3
bartolomeu,4,2
vinícola,4,4
vino,4,3
625,4,4
fraudar,4,4
fraturar,4,4
ejetar,4,4
ejecutivo,4,2
cheddar,4,3
chegamos,4,4
telhar,4,3
telha,4,4
temir,4,4
assassinas,4,3
lucão,4,4
lucy,4,4
luigi,4,4
croce,4,2
ltd,4,4
low,4,3
periélio,4,2
cheesecake,4,4
elatp,4,1
perfeição,4,4
personalizar,4,3
personal,4,2
lubin,4,1
loustau,4,1
louro,4,4
pertinho,4,4
pertencia,4,4
violent,4,3
viro,4,4
virir,4,4
ameaçado,4,4
ame,4,4
fraldinha,4,3
1750,4,3
según,4,2
bases,4,4
cromossomo,4,2
croft,4,1
incondicional,4,2
desmistificar,4,4
increase,4,3
desmatamento,4,4
incorretamente,4,4
fotografar,4,4
fossa,4,2
eleitoreiro,4,3
chateado,4,4
perímetro,4,2
charle,4,4
perry,4,1
perrone,4,2
225,4,4
chape,4,3
pete,4,3
loss,4,3
crotoxina,4,1
croqueta,4,4
cronologia,4,4
cronolog,4,4
teme,4,4
tenda,4,3
asfalto,4,3
aspiração,4,4
pet,4,1
petro,4,3
virgem,4,4
visionário,4,4
seguramente,4,4
elisa,4,2
formaram,4,4
formulário,4,4
formigueiro,4,1
formidável,4,4
londonr,4,4
apollo,4,2
incômoda,4,4
logotipo,4,4
loiseau,4,1
elevador,4,4
abaixar,4,4
sedie,4,3
see,4,2
petit,4,4
chamuscar,4,4
foodtruck,4,4
secundár,4,4
secretárioexecutivo,4,2
afor,4,4
4500,4,3
470,4,2
desmentir,4,3
independêncio,4,3
aso,4,3
tendêncio,4,4
piadino,4,2
pi,4,4
formado,4,4
eleva,4,4
chaga,4,2
phil,4,4
tenro,4,4
loco,4,4
cruzado,4,3
asensio,4,2
livremente,4,4
pilho,4,4
amassar,4,4
fogel,4,1
chaco,4,1
pielke,4,1
pietter,4,1
se ales,4,4
picanhar,4,4
cestinha,4,4
eliseu,4,3
elogia,4,4
liège,4,1
asp,4,4
indignação,4,3
desilusão,4,3
desidratação,4,3
desidratar,4,4
trilhão,4,3
pintor,4,3
fluente,4,4
flu,4,1
fm,4,2
pimentel,4,2
pimentadoreino,4,3
pinguepongar,4,1
pingo,4,4
pilão,4,2
piselli,4,1
liu,4,3
cuco,4,3
pisco,4,4
piscar,4,3
vitali,4,2
amarelos,4,4
emagrecer,4,4
floco,4,3
floyd,4,1
pipoca,4,4
piquenique,4,3
pirâmidir,4,2
pires,4,4
centralizar,4,4
baurr,4,4
21h30,4,4
satisfazer,4,4
saímo,4,3
scanner,4,4
pl,4,2
3600,4,4
tripulante,4,4
deslanchar,4,3
ascendência,4,3
cenografia,4,3
ceno,4,4
floresiensi,4,1
vitaliano,4,1
pitcher,4,4
saúl,4,2
schneider,4,4
alaarmador,4,3
embebido,4,4
fiorentina,4,4
terminei,4,3
1400,4,4
terr,4,2
liom,4,2
terrorism,4,1
artilharia,4,4
agrião,4,4
plo,4,4
plínio,4,4
cega,4,4
plateia,4,4
fisioterapeuta,4,4
plantio,4,4
poderio,4,4
poinar,4,1
poema,4,3
satay,4,2
sassá,4,1
bebericar,4,4
cumaru,4,3
limusaurus,4,1
lindar,4,4
linhar,4,4
cumprimento,4,3
limoli,4,1
arum,4,2
vitorio,4,2
vitinho,4,4
amanhecer,4,4
terno,4,3
termômetro,4,3
indonésio,4,3
tribuno,4,4
trigêmeo,4,1
triesman,4,1
124,4,4
122,4,4
indomável,4,2
ineficiente,4,4
polifenol,4,1
67pchuryumovgerasimenko,4,3
financia,4,4
fininho,4,4
ceagesp,4,1
ce uriosity,4,3
santinho,4,3
santander,4,2
terópode,4,2
tesouro,4,4
article,4,4
artesanato,4,3
cbat,4,1
pomodori,4,2
vivência,4,4
viés,4,3
am,4,4
polivalente,4,4
cbs,4,4
pollan,4,1
cbca,4,2
cbbs,4,3
porichthys,4,1
pompeia,4,2
cupim,4,4
desfez,4,3
desfavorável,4,4
inesperado,4,4
inequívoco,4,4
artifício,4,3
poohr,4,1
voltario,4,4
amadurecimento,4,3
filar,4,3
embrapa,4,3
polônio,4,2
caí,4,3
polímero,4,3
licenciamento,4,2
licenciado,4,4
libro,4,3
libertação,4,4
infeliz,4,4
infelicidade,4,4
desfiar,4,4
infeccioso,4,3
infarto,4,4
portellar,4,2
portabandeirar,4,1
embutido,4,4
filadélfia,4,1
vo2,4,1
beginning,4,3
popularmente,4,4
vomitar,4,4
vsv,4,2
vrlic,4,1
vovô,4,3
alvi,4,3
370,4,3
arrogante,4,4
arrived,4,3
levarão,4,4
bela,4,4
bel,4,2
beirar,4,4
sampra,4,2
porter,4,1
204,4,2
porcentagemr,4,3
feto,4,3
levála,4,4
desestabilizar,4,4
influêncio,4,4
451,4,4
desentender,4,4
desenrolar,4,4
6h30,4,4
ficho,4,4
emmental,4,3
1061,4,1
pose,4,4
cativar,4,3
portátil,4,4
possamo,4,4
positivamente,4,4
cusparar,4,2
acebolar,4,4
cursar,4,3
leon,4,2
les,4,4
custoso,4,4
salsão,4,3
salvatore,4,3
fertilizante,4,4
samantha,4,4
belfortr,4,1
castonguay,4,1
castilho,4,1
postagem,4,4
beluga,4,3
182,4,4
lestir,4,3
letícia,4,3
tricampeã,4,4
apreender,4,4
tributário,4,4
infringir,4,4
infravermelho,4,4
desempate,4,4
them,4,2
think,4,3
20769700,4,4
207,4,4
206,4,4
casta,4,2
205,4,4
saltitar,4,2
praga,4,4
prazeroso,4,3
saldar,4,4
saldanhar,4,1
poção,4,3
pranto,4,4
thierry,4,4
lembrete,4,3
lentrecôte,4,4
lentilhar,4,4
lentilha,4,3
leisurar,4,2
prancha,4,4
aluna,4,3
alugar,4,4
véio,4,4
salsinha,4,4
salsichar,4,4
bemvir,4,4
leme,4,4
lembrome,4,3
theory,4,1
infraestruturo,4,4
infraestruturar,4,4
apresente,4,4
thompson,4,2
preceito,4,3
20122016,4,4
empreendedorismo,4,4
empreendedor,4,4
alvejar,4,1
alçar,4,4
adrenalinar,4,4
precursor,4,4
precocemente,4,3
predominante,4,4
tiebreak,4,3
arrasar,4,4
cartilha,4,3
afim,4,4
ferida,4,3
empreso,4,3
fera,4,3
feola,4,3
adoção,4,4
carvajal,4,3
2021,4,4
precise,4,4
várzea,4,3
vêla,4,4
vôo,4,3
altofalante,4,2
legislar,4,4
aprendizr,4,4
aprendemos,4,4
iniciador,4,1
inigualável,4,4
preguiçoso,4,4
preguinho,4,1
premio,4,4
premiaçãor,4,2
saio,4,4
beneficia,4,4
adriana,4,4
encaixo,4,4
encaixam,4,4
feirinhar,4,3
encalhar,4,3
lecor,4,3
tigela,4,4
tifo,4,1
tinir,4,4
arrecar,4,4
timidez,4,4
preocupe,4,4
preparatiom,4,2
carmelo,4,2
saguão,4,4
premium,4,4
20152016,4,4
leader,4,3
injúria,4,3
inovio,4,1
presupuesto,4,1
presunção,4,3
wall,4,4
walker,4,3
104,4,3
103,4,4
saboneteira,4,4
preste,4,4
carlinho,4,3
carisma,4,4
fazenr,4,4
encanto,4,3
fechamos,4,4
rústicar,4,4
career,4,3
prestigioso,4,4
dal,4,3
law,4,3
dacosta,4,4
arquibancadas,4,4
prestigiar,4,4
preterir,4,4
want,4,3
watch,4,2
warwick,4,3
alaor,4,3
favela,4,3
carecar,4,3
presídio,4,2
farei,4,4
benjamin,4,3
cardinals,4,1
primeirar,4,4
latar,4,4
lata,4,4
lapidar,4,4
larguro,4,4
encomenr,4,4
farmacêutico,4,4
fará,4,4
farta,4,3
encoberto,4,4
cardamomo,4,4
previsto,4,4
cardíaca,4,4
proconrj,4,2
produtora,4,4
inquietude,4,3
descontrolar,4,4
damjanovic,4,1
academiar,4,3
rubénr,4,4
fantoni,4,4
alambrar,4,2
primordial,4,4
prioritário,4,4
russell,4,4
russa,4,3
encontre,4,4
720,4,3
farinho,4,4
ruddick,4,1
programaçãor,4,3
language,4,4
landgraf,4,4
tre,4,3
tremenda,4,4
inserido,4,3
danoso,4,4
alphaville,4,2
alpha,4,2
falecimento,4,4
encostar,4,4
ruo,4,4
berrar,4,4
procuradoriageral,4,4
procuradorgeral,4,4
cantareira,4,4
beyond,4,3
bexiga,4,4
roçar,4,4
lamentavelmente,4,4
lamen,4,2
tirálo,4,4
armazenamento,4,4
went,4,2
facilito,4,4
facial,4,3
faf,4,3
fadiga,4,4
endossar,4,4
rubior,4,1
rudimentar,4,4
cansaço,4,4
fabius,4,2
alongamento,4,4
weverton,4,3
1x0,4,2
aromatizar,4,4
insinuar,4,4
insight,4,3
inseticir,4,2
absolvição,4,2
descontentamento,4,3
desconhecir,4,4
inspira,4,4
inspir,4,4
darwin,4,1
propagandar,4,4
enfraquecer,4,3
daronco,4,3
lacoste,4,1
laker,4,3
l,4,3
datação,4,4
kvyat,4,2
lac,4,4
laby,4,1
royaltie,4,4
roy,4,3
bezerra,4,2
cansado,4,4
propagar,4,4
propício,4,4
protagonisto,4,4
canelar,4,4
laboratory,4,4
laboratorial,4,4
instaurar,4,4
instar,4,3
insulto,4,3
canecar,4,4
proíber,4,4
proyecto,4,2
préclínico,4,3
précandidato,4,4
cannoli,4,2
cancer,4,3
engenhario,4,4
extro,4,4
extração,4,3
engedi,4,1
engatar,4,4
better,4,3
bialetti,4,1
bia,4,1
kroos,4,3
kronauer,4,1
kit,4,4
kkk,4,2
known,4,3
wild,4,3
extracampo,4,3
extravagante,4,4
extrapolar,4,4
engajamento,4,4
canastrar,4,4
exprefeito,4,2
expovinis,4,2
dba,4,4
knockout,4,1
armênio,4,4
tnt,4,3
caminhoneiro,4,1
campbell,4,1
cambuci,4,4
camisir,4,4
campinho,4,4
campina,4,4
psicologer,4,4
psbrj,4,3
enigma,4,3
extinguir,4,4
camarote,4,4
caminhada,4,4
armedr,4,1
trappe,4,2
trattorio,4,3
tratavase,4,4
desconectar,4,4
explorada,4,3
explor,4,3
express,4,3
roskosr,4,3
roteiro,4,4
rotativo,4,4
rotinar,4,4
bichinho,4,4
working,4,3
kieza,4,1
keops,4,1
kennedy,4,4
khaled,4,4
kf,4,1
ensaiar,4,4
expliquei,4,3
enjoo,4,4
pururucar,4,4
rony,4,4
rosenberg,4,3
bibi,4,4
put,4,3
pujol,4,3
adulterar,4,3
puner,4,4
xgame,4,3
pênfigo,4,1
ketchup,4,4
kickstarter,4,3
khedira,4,2
insucesso,4,4
descarta,4,4
descobrimo,4,4
intacto,4,4
katia,4,4
pétala,4,3
públicoprivar,4,4
exministro,4,4
pâtissier,4,4
worst,4,3
wrong,4,3
